"filename", "language", "YAML", "Dart", "C++", "Markdown", "Properties", "Groovy", "XML", "JSON", "HTML", "Swift", "comment", "blank", "total"
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/middlewares/navigation_middlewares.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/filters_orders/filters_orders.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 81
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/logistic/navigation_provider.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/operator/navigation_provider.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/sellers/navigation_provider.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/providers/transport/navigation_provider.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/routes/get_routes.dart", "Dart", 0, 309, 0, 0, 0, 0, 0, 0, 0, 0, 43, 41, 393
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/theme/theme.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/login/controllers/controllers.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/login/login.dart", "Dart", 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 189
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/account_status/account_status.dart", "Dart", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 216
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/account_status/account_status_details.dart", "Dart", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 141
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/account_status/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_carrier/add_carrier.dart", "Dart", 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 53, 10, 318
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_carrier/carrier_details.dart", "Dart", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 43, 8, 208
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_carrier/controllers/controllers.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 57
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_logistics_user/add_logistics_user.dart", "Dart", 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 255
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_logistics_user/controllers/controllers.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_logistics_user/edit_logistic_user.dart", "Dart", 0, 733, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 747
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_sellers/add_sellers.dart", "Dart", 0, 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 437
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_sellers/controllers/controllers.dart", "Dart", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
